Nstations,ETime,sdTime,lbTime,ubTime,ETimeM4,ETimeM12,ETimeM36
11,138.9863667,57.85401595,60.87917255,215.7688035,138.3956222,128.711404,59.07756519
12,129.4295335,52.70852784,59.24286837,199.9977656,128.8974747,129.4295335,59.1723093
13,120.4906909,48.61263728,55.54202078,185.129531,119.7825576,120.4906909,59.59542362
14,113.2623961,45.42388787,52.70366778,174.2498553,112.3797198,113.166648,59.67350037
15,107.402539,42.58698059,50.11466077,163.8469277,106.5283232,107.1845261,60.00228643
16,102.3960867,39.66789851,50.16836479,154.5463374,101.2417927,101.7197071,60.56727763
17,98.15339617,37.79565812,48.0086755,147.7165468,96.79484987,97.27198136,60.67994966
18,93.98643497,36.13824037,46.22705958,140.7060905,92.63632571,93.12307015,60.88524344
19,90.44959989,34.77440066,44.23987134,135.5239034,88.90584248,89.54364619,61.51623452
20,87.79009341,33.45305171,43.64744163,131.4053114,85.89054662,86.0725168,62.08739445
21,85.4164811,32.24961068,43.27906937,127.1979298,83.51674517,83.60636554,62.33719397
22,83.31770311,31.3152088,42.66728853,123.7125387,81.10582322,81.41806607,62.85176255
23,81.1150301,30.32130957,41.34374843,121.0174095,78.7069328,78.38647539,63.07897316
24,78.87939566,29.58125617,40.48300335,117.0716432,76.55475532,75.71228986,63.60124661
25,77.35174147,29.17573628,39.25751243,115.597518,74.40059703,73.99755443,63.64535837
26,75.95717562,28.40660936,39.18325794,112.9592903,72.70019268,72.17373135,64.28898082
27,74.56915247,28.31704582,37.84820925,111.6333783,71.33263765,70.646595,64.43236763
28,73.05050448,27.80324534,37.12006419,109.6979899,69.52378125,68.53427187,65.16557823
29,72.18314623,27.49930422,37.00290276,108.4758069,68.27134959,67.44796951,65.53768704
30,71.60240976,27.35963579,36.6443629,108.2804441,67.58085862,66.21171757,65.85849027
31,70.49943166,27.24885773,35.63522488,106.57329,66.38248229,64.55778513,66.05643625
32,69.51131583,27.02149888,34.89481188,105.7755978,64.93831397,63.22013104,66.62615926
33,68.71505292,26.53056757,35.15247562,104.8808715,64.04923574,62.12630631,66.52694177
34,68.07588575,26.72138645,34.42815896,104.068093,63.08059064,60.94210952,66.78908947
35,67.40908766,26.53108477,33.51439039,103.2022492,62.18186509,59.84909364,67.00549212
36,66.92846679,26.66557004,33.30965615,103.6822947,61.5661291,59.26034032,66.92846679
37,66.31077272,26.74645909,32.90960131,102.7537196,60.6382396,58.17408514,66.31077272
38,66.16544834,26.87111787,32.44228172,102.9483531,60.29231067,57.34584031,66.07128483
39,65.35991072,26.63870172,32.41018125,101.7362216,59.22271289,56.52861592,65.10800539
40,65.19186676,26.8223875,31.38724639,101.9447133,58.74188993,56.0260481,64.7054281
41,64.84413641,27.0672388,31.50469223,102.4978306,58.04560034,55.20196451,64.07835995
42,64.89200983,27.19673218,31.39698357,103.0968352,58.03466564,54.90449362,63.87490561
43,64.27891723,27.30959447,30.51802152,102.7273772,57.13299669,54.01034974,62.97203199
44,63.95162309,27.41230963,30.27799576,102.4884531,56.59090475,53.65289731,62.3248554
45,63.718007,27.20341755,30.13651349,101.6201657,56.33019384,52.54483202,61.91156347
46,63.32284071,27.50474347,29.79361534,101.9476305,55.52943542,52.05075775,60.95368367
47,63.17842785,27.72813858,29.07325101,102.4956892,55.13335283,51.39804777,60.6676523
48,63.00827004,27.78410267,29.13790051,102.4851324,55.06971499,50.97953763,60.15989732
49,63.0574746,28.01142806,28.88955529,102.7484611,54.52190869,50.4821945,59.74099525
50,63.0224132,28.34012191,28.66216254,103.138631,54.12260347,50.04027171,59.5019832
51,63.09413004,28.60903469,28.07007089,103.6401702,54.03104504,49.61627663,58.97931598
52,61.96837831,28.37913201,27.90892352,102.2570867,53.20742504,48.78693696,57.55950994
53,62.51104724,28.61087401,28.01824689,103.7847207,53.11500112,48.67160739,57.69178934
54,62.92787334,28.99837176,27.47795358,104.2431611,53.38275748,48.48687528,58.25601165
55,62.83639617,29.09523721,27.56635543,104.2893187,53.1672433,48.15196043,57.62827724
56,62.63210094,29.08291369,27.53968696,104.3713861,52.86808915,47.67524288,57.12554771
57,62.59058019,29.65115325,27.1759791,105.4920723,52.46588634,47.18287683,56.72004291
58,62.30910117,29.4864746,26.93812249,104.5815582,52.00055215,46.85415582,56.09544228
59,62.33556678,29.69666394,26.52357607,105.1873846,51.69267828,46.50558076,55.9378332
60,62.47243117,29.98568866,26.54099647,105.7977133,51.6785245,46.2512394,55.53706788
61,61.84689693,29.95401062,26.08002588,105.2229,51.32358932,45.59898576,54.87047389
62,62.85254621,30.71965284,26.11984497,107.8688378,51.64787414,45.95150787,55.13178936
63,62.51127867,30.64895059,26.05625863,106.9052796,51.18547858,45.49903718,54.75790186
64,62.40360071,30.58914062,26.13009174,107.0726588,50.86777644,45.15092056,54.37207991
65,62.64218469,30.99435399,25.71376598,107.4962217,50.81671193,45.02922091,54.02220295
66,63.12402431,31.70982233,25.46712396,109.2325481,50.8218384,45.04131961,53.88324248
67,63.17223271,31.46715447,25.73067638,108.893191,50.80874253,44.82672339,53.83355675
68,62.71949932,31.56346192,25.63698288,108.5887722,50.63685266,44.45521658,53.1190696
69,62.93686373,31.62121818,25.32944936,109.2665759,50.41105632,43.92498225,53.04098864
70,62.78238131,31.95821036,24.85234839,109.1742548,50.07951479,43.68090232,52.47867514
71,63.49988458,32.64617673,24.60747076,111.1906612,50.27680045,43.74249755,52.74460604
72,63.32108101,32.64587123,24.39224128,110.8460711,50.07418075,43.32960784,52.08253493
73,63.86235987,32.8803365,25.11581486,112.1282705,50.23597181,43.41759012,52.3741604
74,64.08558927,33.2192707,24.55802168,112.4520836,50.11983089,43.27408183,52.31161618
75,63.78905022,33.45310293,24.24637368,113.1916959,49.87060987,42.73598798,51.89792844
76,63.82368282,33.40568975,24.60420259,112.9029042,49.74023302,42.63259708,51.47265318
77,63.59134264,33.50168252,24.0619548,112.5218894,49.4756896,42.2430776,51.01125653
